evidenceId,category,item,variant,sheet,frameIndex,globalIndex,row,col,x,y,w,h,individual
EV-FP-001,Fingerprints,Latent fingerprint,partial print on glass/register/door handle,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,0,0,0,0,0,0,128,128,assets/evidence/individual/ev-fp-001_latent_fingerprint.png
EV-FP-002,Fingerprints,Bloody fingerprint,blood-smeared print on wall/weapon/car door,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,1,1,0,1,128,0,128,128,assets/evidence/individual/ev-fp-002_bloody_fingerprint.png
EV-FP-003,Fingerprints,Grease/oil fingerprint,garage/tool/vehicle surface print,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,2,2,0,2,256,0,128,128,assets/evidence/individual/ev-fp-003_grease_oil_fingerprint.png
EV-DNA-001,Biological,Blood drop trail,drops leading from scene to alley,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,3,3,0,3,384,0,128,128,assets/evidence/individual/ev-dna-001_blood_drop_trail.png
EV-DNA-002,Biological,Hair strand,caught on fence/window/coat,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,4,4,0,4,512,0,128,128,assets/evidence/individual/ev-dna-002_hair_strand.png
EV-DNA-003,Biological,Saliva on cigarette,discarded cigarette butt,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,5,5,0,5,640,0,128,128,assets/evidence/individual/ev-dna-003_saliva_on_cigarette.png
EV-DNA-004,Biological,Tissue / cloth with blood,"rag, napkin, bandage",assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,6,6,0,6,768,0,128,128,assets/evidence/individual/ev-dna-004_tissue_cloth_with_blood.png
EV-FT-001,Footprints,Muddy footprint,mud print near door/alley,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,7,7,0,7,896,0,128,128,assets/evidence/individual/ev-ft-001_muddy_footprint.png
EV-FT-002,Footprints,Bloody footprint,shoe print in blood,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,8,8,1,0,0,128,128,128,assets/evidence/individual/ev-ft-002_bloody_footprint.png
EV-FT-003,Footprints,Dusty shoe print,print on office floor/window sill,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,9,9,1,1,128,128,128,128,assets/evidence/individual/ev-ft-003_dusty_shoe_print.png
EV-FT-004,Footprints,Tire tracks,skid/turn mark near hit-and-run,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,10,10,1,2,256,128,128,128,assets/evidence/individual/ev-ft-004_tire_tracks.png
EV-FT-005,Footprints,Drag marks,body/object dragged across floor,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,11,11,1,3,384,128,128,128,assets/evidence/individual/ev-ft-005_drag_marks.png
EV-BAL-001,Ballistics,Shell casing,spent casing on floor/street,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,12,12,1,4,512,128,128,128,assets/evidence/individual/ev-bal-001_shell_casing.png
EV-BAL-002,Ballistics,Bullet fragment,slug/fragment in wall/car,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,13,13,1,5,640,128,128,128,assets/evidence/individual/ev-bal-002_bullet_fragment.png
EV-BAL-003,Ballistics,Bullet hole,wall/window/car impact,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,14,14,1,6,768,128,128,128,assets/evidence/individual/ev-bal-003_bullet_hole.png
EV-BAL-004,Ballistics,Gunpowder residue,on hands/clothing/table,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,15,15,1,7,896,128,128,128,assets/evidence/individual/ev-bal-004_gunpowder_residue.png
EV-BAL-005,Ballistics,Discarded firearm,pistol/revolver/shotgun,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,16,16,2,0,0,256,128,128,assets/evidence/individual/ev-bal-005_discarded_firearm.png
